10,10,0.01,0.1,0.8701382226205222
10,20,0.01,0.1,0.8713151704320361
5,20,0.01,0.1,0.8727438357064928
5,10,0.01,0.1,0.8750541247311867
10,5,0.01,0.1,0.8765862492726957
5,30,0.01,0.1,0.8767342012172645
2,30,0.05,0.05,0.8794523793068842
2,30,0.05,0.1,0.8795089180250015
2,20,0.05,0.05,0.8798034139747136
2,20,0.05,0.1,0.8807881694174308
5,5,0.01,0.1,0.8814825787964613
5,30,0.01,0.1,0.8829236016204831
5,20,0.01,0.1,0.8833053987211542
5,10,0.05,0.1,0.8853689895449469
2,20,0.05,0.1,0.8855962951767642
5,10,0.01,0.1,0.8858691479203181
2,30,0.05,0.1,0.8860316302557527
5,30,0.01,0.05,0.8861304847350897
2,30,0.05,0.1,0.8868654492373137
2,20,0.01,0.1,0.8874747192069702
5,20,0.01,0.05,0.8875908453763123
2,10,0.05,0.05,0.8877117033586875
2,30,0.01,0.1,0.8877551974989047
10,20,0.01,0.1,0.8886974366188278
2,10,0.05,0.1,0.8887488351190884
2,30,0.01,0.05,0.8889827438408894
2,20,0.05,0.1,0.889289209767776
2,30,0.01,0.1,0.8895076293682969
2,20,0.01,0.1,0.8898272569214539
10,10,0.01,0.1,0.8898455073607958
2,10,0.01,0.1,0.8900323068322009
5,10,0.01,0.05,0.8908961099137579
2,20,0.01,0.05,0.8910733677095967
5,5,0.01,0.1,0.8916274492209223
5,5,0.05,0.1,0.8917992700001238
5,5,0.05,0.1,0.8921856984853099
2,10,0.01,0.1,0.8925819230864384
2,10,0.01,0.1,0.8934586359271184
2,10,0.01,0.05,0.893511318411967
2,10,0.01,0.05,0.8938440936111368
10,30,0.01,0.1,0.8939895422212364
2,5,0.01,0.1,0.8951552355192064
2,30,0.01,0.01,0.8952724912946545
10,5,0.01,0.1,0.8957307049114681
5,30,0.01,0.5,0.8959898325361689
2,5,0.01,0.1,0.8966241091194388
2,30,0.01,0.1,0.8967547718996324
5,5,0.01,0.05,0.8967733143601195
2,5,0.05,0.1,0.8970230780866667
2,5,0.01,0.1,0.897227781113381
2,5,0.05,0.05,0.8973413287493506
2,5,0.01,0.1,0.8974171428174703
2,5,0.01,0.05,0.8977776221428007
2,5,0.01,0.05,0.8979720539029457
2,10,0.05,0.1,0.8979888106474955
2,5,0.01,0.05,0.897999624352842
2,10,0.05,0.1,0.8980366378960725
2,10,0.05,0.1,0.8985560148231325
2,20,0.01,0.01,0.8987950766382383
2,20,0.01,0.1,0.9001217523597678
5,30,0.01,0.01,0.9001885338191159
2,10,0.01,0.01,0.9008007290519613
2,10,0.01,0.01,0.9020756372652914
10,20,0.01,0.05,0.9025356239806853
10,30,0.01,0.05,0.9031634285359498
10,10,0.01,0.05,0.9032099988165893
5,10,0.01,0.1,0.9036865414586776
2,5,0.05,0.1,0.9041447241585006
2,5,0.05,0.1,0.9041462279239593
2,5,0.05,0.1,0.9043469704945875
2,5,0.05,0.1,0.9045303651978254
2,10,0.01,0.1,0.9045451595010312
2,5,0.01,0.01,0.9050866338626006
2,5,0.01,0.01,0.9054241358868118
2,5,0.01,0.01,0.905661534430095
10,20,0.01,0.5,0.9058169575627791
2,10,0.01,0.01,0.9059167856281751
10,5,0.01,0.05,0.907137320886338
5,20,0.01,0.5,0.9072763691196978
5,20,0.01,0.01,0.9076872837134977
2,30,0.01,0.5,0.9080988066384901
5,5,0.01,0.1,0.9095931542091591
2,5,0.01,0.1,0.9100586500858426
5,10,0.01,0.01,0.9103606463709877
5,5,0.01,0.01,0.9141870653394022
2,20,0.01,0.5,0.9178844508190263
10,30,0.01,0.01,0.926446462296026
5,30,0.01,1.0,0.9265875941999423
10,10,0.01,0.5,0.9292936450316465
5,10,0.01,0.5,0.9300443952931995
10,20,0.01,0.01,0.9323529530300557
2,30,0.01,0.5,0.9328845430321221
2,20,0.01,0.5,0.933135005368623
2,30,0.05,0.5,0.9333341643886708
2,30,0.01,1.0,0.9338584903283897
2,10,0.01,0.5,0.9340269274162943
5,10,0.01,0.5,0.934036290037928
2,30,0.1,0.5,0.9340562483708809
2,20,0.05,0.5,0.9346699927423814
5,5,0.01,0.5,0.9354748157109607
2,5,0.01,0.5,0.935476470863811
2,30,0.2,0.5,0.9355760774605707
2,10,0.05,0.05,0.9364754228240032
2,10,0.01,0.5,0.9366850241536123
10,5,0.01,0.01,0.936791319739868
2,20,0.1,0.5,0.9369706796596833
2,10,0.05,0.5,0.9389974267454408
10,10,0.01,0.01,0.9400765382482206
2,20,0.2,0.5,0.9417039241367227
5,5,0.05,0.5,0.9436669446098618
2,5,0.05,0.5,0.9436679113640157
10,20,0.01,1.0,0.9445139703598304
2,10,0.1,0.5,0.9457497496154387
5,20,0.01,1.0,0.9459496414098444
10,5,0.01,0.5,0.947850230431504
2,5,0.01,0.5,0.9480854137477298
5,5,0.01,0.5,0.9481442541867907
2,30,0.01,1.5,0.9489016156179333
5,30,0.01,1.5,0.948926774836785
2,20,0.01,1.0,0.9489425621191858
